Name,Category,Model,Prompt Text,Rating,Use Count,Output Format,Tags,Last Used,Version,Notes
Git Commit Message Writer,Coding,Any,"Context: Here's the diff of my changes: [DIFF]. Role: Act as a developer who writes clean conventional commits. Action: Write a commit message following conventional commits format (type(scope): description). Include a body explaining why the change was made if the diff is non-trivial. Format: Subject line under 72 chars, blank line, body wrapped at 72 chars. Tone: Concise and factual.",4,203,Text,git;commits;workflow,2026-03-27,1.1,Quick and simple. Works on any model. Paste the full diff for best results.
TypeScript Type Helper,Coding,Claude,"Context: I'm working in a TypeScript [FRAMEWORK] codebase. Here's the code that has type issues: [CODE]. Role: Act as a TypeScript expert. Action: Fix the type errors, explain why they occurred, and suggest better type patterns where applicable. If the types are overly complex, simplify them. Format: Corrected code with inline comments explaining changes. Tone: Direct and educational.",4,88,Code,typescript;types;fixes,2026-03-25,1.3,Claude handles complex generics better than other models.
SEO Meta Description Writer,Marketing,ChatGPT,"Context: I'm optimising a webpage about [TOPIC] targeting the keyword [KEYWORD]. The page is for [AUDIENCE]. Role: Act as an SEO specialist who writes click-worthy meta descriptions. Action: Write 5 meta description variations, each under 155 characters, incorporating the target keyword naturally. Each should include a value proposition and implicit CTA. Format: Numbered list. Tone: Compelling but not clickbait.",4,67,Text,seo;meta;search,2026-03-24,1.2,ChatGPT is slightly better at staying under character limits consistently.
Facebook Ad Copy Generator,Marketing,ChatGPT,"Context: I'm advertising [PRODUCT/SERVICE] to [AUDIENCE] on Facebook. Budget is [BUDGET]. Main selling point is [USP]. Role: Act as a performance marketer who writes high-CTR ad copy. Action: Write 3 ad variations, each with: headline (under 40 chars), primary text (under 125 chars), description, and CTA button text suggestion. Format: Each ad clearly labelled with all components. Tone: Attention-grabbing, benefit-focused, natural.",4,55,Text,ads;facebook;copy,2026-03-22,1.4,Test all 3 variations. The third one often performs best surprisingly.
Content Calendar Planner,Marketing,Any,"Context: I create content for [PLATFORM] about [NICHE]. My posting frequency is [FREQUENCY]. Target audience is [AUDIENCE]. Role: Act as a content strategist planning a month of content. Action: Create a 30-day content calendar with post topics, content types, hooks, and posting times. Mix educational, entertaining, and promotional content in a 70/20/10 ratio. Format: Table with columns: Day, Topic, Content Type, Hook, CTA. Tone: Strategic and practical.",5,38,Table,content;calendar;planning,2026-03-20,1.1,Feed in your top-performing posts from last month for better topic suggestions.
Competitor Analysis Framework,Marketing,Claude,"Context: I'm analysing competitors in the [INDUSTRY] space. My product is [PRODUCT]. Key competitors are [COMPETITORS]. Role: Act as a competitive intelligence analyst. Action: For each competitor, analyse: positioning, pricing, strengths, weaknesses, target audience, and content strategy. Identify gaps I can exploit. Format: One section per competitor with consistent subheadings, plus a summary comparison table. Tone: Objective and data-driven.",4,29,Markdown,competitor;analysis;strategy,2026-03-18,1.0,Include URLs of competitor sites/products in the context for better analysis.
Audience Persona Builder,Marketing,Claude,"Context: I'm building [PRODUCT/SERVICE] for [BROAD_AUDIENCE]. I need detailed buyer personas. Role: Act as a marketing researcher who builds evidence-based personas. Action: Create [NUMBER] distinct buyer personas including: name, age, job title, goals, frustrations, buying triggers, objections, preferred channels, and a day-in-the-life scenario. Format: One page per persona with consistent sections. Tone: Realistic and specific -- no generic stereotypes.",4,22,Markdown,persona;audience;research,2026-03-15,1.1,The more context you give about your existing customers the better the personas.
Email Subject Line Tester,Marketing,ChatGPT,"Context: I'm sending an email about [TOPIC] to my list of [AUDIENCE_SIZE] [AUDIENCE_TYPE] subscribers. Role: Act as an email marketing expert who optimises open rates. Action: Generate 10 subject line variations using different psychological triggers: curiosity, urgency, specificity, personalisation, and controversy. For each, note which trigger it uses and predicted open rate. Format: Numbered list with trigger label and open rate estimate. Tone: Varied -- each line should feel different.",4,44,Text,email;subject-lines;optimisation,2026-03-23,1.3,ChatGPT generates more creative variations. Use Claude if you want more conservative options.
CSV Data Summariser,Analysis,Claude,"Context: The attached CSV contains [DESCRIPTION] with [NUMBER] rows and columns: [COLUMN_LIST]. Role: Act as a data analyst preparing an executive summary. Action: Analyse the data and provide: top 3 key findings, any anomalies or outliers, trends over time (if date column exists), and 2 actionable recommendations. Format: Executive summary (3 bullet points), then detailed analysis with supporting numbers. Include a markdown table of key metrics. Tone: Concise, data-driven, lead with insights.",5,43,Markdown,data;csv;summary,2026-03-26,2.0,Claude handles large CSVs well. Paste the first 50 rows plus column headers for best results.
Trend Analysis Report,Analysis,Claude,"Context: I have [TIME_PERIOD] of data for [METRIC] in the [INDUSTRY] sector. Here's the data: [DATA]. Role: Act as a business analyst specialising in trend identification. Action: Identify upward/downward trends, seasonal patterns, rate of change, and inflection points. Project the next [PERIOD] based on current trajectory. Flag any data quality issues. Format: Summary paragraph, trend chart description, key metrics table, and forward projection with confidence level. Tone: Analytical and measured.",4,31,Markdown,trends;analysis;forecasting,2026-03-21,1.2,Include at least 6 months of data for meaningful trend analysis.
Financial Report Interpreter,Analysis,Claude,"Context: Here is a [COMPANY_TYPE] financial report covering [PERIOD]. Key sections: [SECTIONS]. Role: Act as a financial analyst who translates numbers into plain language. Action: Summarise the financial health: revenue trends, expense patterns, profit margins, cash flow, and any red flags. Compare to industry benchmarks if possible. Format: Executive summary, then section-by-section breakdown with key numbers. End with a health rating (Strong/Stable/Concerning/Critical). Tone: Clear and honest. No sugar-coating.",4,18,Markdown,finance;report;interpretation,2026-03-17,1.0,Works best with quarterly or annual reports. Paste the actual numbers not just descriptions.
Survey Results Analyser,Analysis,Any,"Context: I ran a survey with [NUMBER] respondents about [TOPIC]. Questions covered: [QUESTION_TYPES]. Here are the results: [DATA]. Role: Act as a research analyst who extracts actionable insights from survey data. Action: Identify key themes, surprising findings, correlations between responses, and segment differences. Provide 3-5 specific recommendations based on the data. Format: Key findings (numbered), demographic breakdown, recommendations, and suggested follow-up questions. Tone: Evidence-based and practical.",4,25,Markdown,survey;research;insights,2026-03-19,1.1,Include response counts and percentages. Raw data is better than pre-summarised data.
KPI Dashboard Builder,Analysis,Claude,"Context: I need to track KPIs for a [BUSINESS_TYPE] business. Current metrics I track: [METRICS]. Team size: [SIZE]. Role: Act as a business operations consultant. Action: Design a KPI dashboard with: 5-7 key metrics (add any I'm missing), target values, measurement frequency, data source, and traffic-light thresholds (green/yellow/red). Format: Table with columns: KPI, Target, Frequency, Source, Green/Yellow/Red thresholds. Include a brief explanation of why each KPI matters. Tone: Practical and results-oriented.",4,15,Table,kpi;dashboard;metrics,2026-03-14,1.0,Specify your industry for more relevant KPI suggestions.
Literature Review Summariser,Research,Claude,"Context: I'm researching [TOPIC] for [PURPOSE]. Here are [NUMBER] papers/articles to review: [SOURCES]. Role: Act as an academic researcher conducting a literature review. Action: For each source, summarise: key findings, methodology, limitations, and relevance to my research question. Then synthesise across all sources: common themes, contradictions, and gaps in the literature. Format: Individual summaries, then a synthesis section with a comparison table. Tone: Scholarly but accessible.",5,34,Markdown,research;literature;academic,2026-03-22,1.4,Paste abstracts and key sections rather than full papers. Claude handles long context well but focused input gives better output.
Market Research Brief,Research,Claude,"Context: I'm exploring the [MARKET] market for a potential [PRODUCT/SERVICE]. Target geography: [REGION]. Budget range: [RANGE]. Role: Act as a market research analyst. Action: Provide an overview of: market size and growth rate, key players, target customer segments, barriers to entry, pricing benchmarks, and distribution channels. Identify 3 opportunities and 2 risks. Format: Structured sections with headers. Include a market overview table and competitive landscape summary. Tone: Thorough and evidence-based.",4,27,Markdown,market;research;opportunity,2026-03-20,1.2,Follow up with the Competitor Analysis prompt for deeper competitive insights.
Competitive Intelligence Gatherer,Research,Claude,"Context: I need competitive intelligence on [COMPANY/PRODUCT] in the [INDUSTRY] space. I'm particularly interested in [SPECIFIC_AREAS]. Role: Act as a competitive intelligence analyst. Action: Analyse their: product features, pricing strategy, marketing channels, content strategy, customer sentiment (from reviews), recent news/launches, and strategic direction. Format: SWOT analysis plus a detailed breakdown by area. Include a strengths/weaknesses comparison table. Tone: Objective and analytical.",4,19,Markdown,competitive;intel;strategy,2026-03-16,1.0,Provide URLs and recent press releases for more accurate analysis.
Technical Concept Explainer,Research,Any,"Context: I need to understand [CONCEPT] for [PURPOSE]. My current knowledge level is [LEVEL]. Role: Act as a patient technical educator. Action: Explain [CONCEPT] starting from fundamentals, building to practical applications. Include analogies, concrete examples, and common misconceptions. End with how this applies to my specific use case. Format: Start simple, increase complexity. Use headers for each layer of explanation. Include a TLDR. Tone: Clear and encouraging. Never condescending.",5,61,Text,learning;explanation;technical,2026-03-25,1.3,Stating your knowledge level explicitly avoids getting explanations that are too basic or too advanced.
Brainstorm Facilitator,Creative,Any,"Context: I need ideas for [PROJECT/CHALLENGE]. Constraints: [CONSTRAINTS]. Target outcome: [OUTCOME]. Role: Act as a creative director running a brainstorming session. Action: Generate 20 ideas ranging from safe and practical to wild and unconventional. Organise them into 3 tiers: Quick Wins (easy to implement), Stretch Goals (ambitious but feasible), and Moonshots (high risk, high reward). For each idea, add a one-line feasibility note. Format: Three sections by tier, numbered ideas with feasibility notes. Tone: Energetic and judgment-free.",5,48,Text,brainstorm;ideas;creative,2026-03-24,1.2,The Moonshots section often contains the most interesting ideas. Don't dismiss them too quickly.
Story Structure Builder,Creative,Claude,"Context: I'm writing a [TYPE] story about [PREMISE]. Target audience: [AUDIENCE]. Length: [LENGTH]. Role: Act as a story editor with expertise in narrative structure. Action: Build a story structure including: hook, inciting incident, rising action (3-4 beats), midpoint shift, complications, climax, resolution, and denouement. For each beat, suggest specific scenes or moments. Format: Numbered beat sheet with descriptions. Tone: Creative but structured.",4,22,Text,story;structure;narrative,2026-03-19,1.1,Works for blog posts and case studies too, not just fiction.
Product Name Generator,Creative,Any,"Context: I'm naming a [PRODUCT_TYPE] that [WHAT_IT_DOES]. Target market: [AUDIENCE]. Competitors use names like: [EXAMPLES]. Brand values: [VALUES]. Role: Act as a naming consultant. Action: Generate 20 name ideas across these categories: descriptive (says what it does), invented (made-up words), metaphorical (evocative imagery), acronyms, and compound words. For each, note the domain availability likelihood and trademark risk. Format: Grouped by category with notes. Tone: Creative and strategic.",4,31,Text,naming;branding;creative,2026-03-21,1.1,Check domain availability immediately. Good names go fast.
Tagline Generator,Creative,ChatGPT,"Context: Brand: [BRAND]. Product: [PRODUCT]. Unique value: [USP]. Competitors' taglines: [EXAMPLES]. Role: Act as a copywriter specialising in brand messaging. Action: Generate 15 tagline options across these styles: aspirational, functional, clever/witty, emotional, and bold/provocative. Keep each under 8 words. For your top 3 picks, explain why they work. Format: Grouped by style, with top picks section at the end. Tone: Sharp and memorable.",4,25,Text,tagline;branding;copy,2026-03-22,1.2,ChatGPT is slightly more playful with wordplay. Claude is better for sophisticated/subtle taglines.
Client Proposal Writer,Business,Claude,"Context: I'm proposing [SERVICE] to [CLIENT] in the [INDUSTRY] industry. Project scope: [SCOPE]. Estimated timeline: [TIMELINE]. Budget range: [RANGE]. Role: Act as a business development consultant who writes winning proposals. Action: Write a professional proposal covering: executive summary, problem statement, proposed solution, methodology, deliverables, timeline, pricing, terms, and next steps. Format: Formal document with numbered sections. Include a deliverables table with dates. Tone: Professional, confident, and client-focused.",5,33,Markdown,proposal;client;business,2026-03-23,1.4,The executive summary makes or breaks proposals. Spend extra time refining it.
Meeting Summary Generator,Business,Any,"Context: Here are my notes from a [MEETING_TYPE] meeting with [ATTENDEES]. Duration: [DURATION]. Here are the raw notes: [NOTES]. Role: Act as an executive assistant who writes clear meeting summaries. Action: Produce a structured meeting summary with: key decisions made, action items (with owners and due dates), open questions, and parking lot items. Format: Sections with headers. Action items as a checkbox list with owner names. Tone: Clear, concise, and action-oriented.",5,187,Markdown,meetings;summary;action-items,2026-03-27,2.2,The most-used prompt in many libraries. Works on any model. Paste raw messy notes -- the prompt handles the structure.
OKR Framework Builder,Business,Claude,"Context: Company/team: [TEAM]. Planning period: [PERIOD]. Strategic priorities: [PRIORITIES]. Current challenges: [CHALLENGES]. Role: Act as a business strategy consultant who implements OKRs. Action: Create 3-4 Objectives with 3-4 Key Results each. Each KR must be measurable with a specific number. Include stretch targets (70% achievement = success). Add initiative suggestions for each KR. Format: Objective -> Key Results -> Initiatives, clearly structured. Tone: Ambitious but realistic.",4,14,Markdown,okr;strategy;planning,2026-03-12,1.0,Read 'Measure What Matters' first. This prompt assumes you understand OKR philosophy.
SWOT Analysis Generator,Business,Any,"Context: I'm analysing [COMPANY/PRODUCT/IDEA] in the [INDUSTRY] market. Current position: [POSITION]. Key competitors: [COMPETITORS]. Role: Act as a strategy consultant performing a SWOT analysis. Action: Generate a comprehensive SWOT with 5-7 items per quadrant. For each item, add a brief explanation and an actionable implication. Prioritise the top 2 items in each quadrant. Format: Four-quadrant layout (Strengths, Weaknesses, Opportunities, Threats) with priority markers. Tone: Honest and strategic.",4,41,Markdown,swot;strategy;analysis,2026-03-21,1.2,Feed in real data about your business for meaningful results rather than generic analysis.
Strategy Document Outliner,Business,Claude,"Context: I need a strategy document for [INITIATIVE] covering the next [PERIOD]. Stakeholders: [AUDIENCE]. Current state: [CURRENT]. Desired state: [DESIRED]. Role: Act as a management consultant drafting a strategic plan. Action: Create a strategy document outline with: executive summary, situation analysis, strategic objectives, key initiatives (with owners and timelines), resource requirements, risk assessment, KPIs, and review cadence. Format: Numbered sections with clear scope descriptions for each. Tone: Structured, actionable, boardroom-ready.",4,12,Markdown,strategy;document;planning,2026-03-15,1.0,Use this as the outline then flesh out each section individually with targeted prompts.
Weekly Planning Organiser,Productivity,Any,"Context: Here's what I have on my plate this week: [TASKS_AND_COMMITMENTS]. My top priority is [PRIORITY]. Available hours: [HOURS]. Role: Act as a productivity coach who helps prioritise ruthlessly. Action: Organise my week by: categorising tasks (Must Do, Should Do, Could Do, Delegate/Drop), time-blocking a daily schedule, identifying the 3 most important tasks for the week, and flagging anything I should push to next week. Format: Priority list, then day-by-day time blocks. Tone: Direct and honest -- call out overcommitment.",5,112,Text,planning;weekly;productivity,2026-03-27,1.5,Run this every Sunday evening. Game-changer for weekly focus.
Decision Matrix Builder,Productivity,Any,"Context: I need to decide between [OPTIONS] for [DECISION]. Key factors: [FACTORS]. Constraints: [CONSTRAINTS]. Role: Act as a decision-making advisor who uses structured frameworks. Action: Build a weighted decision matrix: list criteria, assign weights (must total 100%), score each option per criterion (1-10), calculate weighted totals, and provide a recommendation with reasoning. Format: Decision matrix table, scoring, and a recommendation section. Tone: Objective and logical.",5,47,Markdown,decision;matrix;framework,2026-03-24,1.3,Add gut feeling as a criterion with 10% weight. Sounds unscientific but it catches things the matrix misses.
Task Breakdown Specialist,Productivity,Any,"Context: I have a project: [PROJECT_DESCRIPTION]. Deadline: [DEADLINE]. My role: [ROLE]. Role: Act as a project manager who breaks ambiguous work into concrete tasks. Action: Break this project into specific actionable tasks. Each task should be completable in 1-4 hours. Include dependencies, estimated time, and priority order. Flag any tasks that need input from others. Format: Numbered task list with time estimates, dependencies, and priority. Group by phase if applicable. Tone: Practical and specific.",5,93,Text,tasks;breakdown;project,2026-03-26,2.0,If a task still feels vague after the breakdown ask the prompt to break that specific task down further.
Email Draft Polisher,Productivity,Any,"Context: I've drafted an email to [RECIPIENT] about [TOPIC]. The relationship is [FORMAL/INFORMAL]. Here's my draft: [DRAFT]. Role: Act as a communications editor. Action: Polish this email for clarity, tone, and professionalism. Shorten where possible. Ensure the ask or next step is crystal clear. Suggest a stronger subject line if mine is weak. Format: Polished email with subject line. Note any significant changes you made and why. Tone: Match the relationship level -- formal or informal as specified.",4,78,Text,email;editing;communication,2026-03-26,1.2,Faster than rewriting from scratch. Paste your ugly first draft and let the AI clean it up.
Daily Standup Summariser,Productivity,Any,"Context: Here are my raw standup notes: [NOTES]. Team uses [METHODOLOGY] (Scrum/Kanban/etc). Role: Act as a concise communicator. Action: Format these notes into a clean standup update: what I completed yesterday, what I'm working on today, and any blockers. Keep each section to 2-3 bullet points max. Format: Three sections (Done, Doing, Blocked) with bullet points. Tone: Brief and factual.",4,145,Text,standup;agile;daily,2026-03-27,1.1,Takes 30 seconds instead of 5 minutes of formatting every morning.
Process Documentation Writer,Productivity,Claude,"Context: I need to document the process for [PROCESS_NAME]. Audience: [WHO_WILL_READ]. Current state: the process exists but isn't written down. Here's a rough description: [DESCRIPTION]. Role: Act as a technical writer who creates clear SOPs. Action: Write a step-by-step process document with: purpose, prerequisites, detailed steps (with screenshots placeholders where helpful), decision points, troubleshooting for common issues, and a revision log. Format: Numbered steps with sub-steps. Include a flowchart description. Tone: Clear enough for someone doing this for the first time.",4,21,Markdown,process;documentation;sop,2026-03-19,1.0,Replace [SCREENSHOT] placeholders with actual screenshots after generation.
YouTube Script Writer,Writing,Claude,"Context: I run a YouTube channel about [NICHE] with [SUBSCRIBER_COUNT] subscribers. Video topic: [TOPIC]. Target length: [MINUTES] minutes. Role: Act as a YouTube scriptwriter who optimises for retention. Action: Write a complete video script with: hook (first 30 seconds), intro, 3-5 main sections with transitions, engagement prompts (like/subscribe CTAs woven naturally), and a strong outro. Include B-roll suggestions in brackets. Format: Script format with timestamps, spoken text, and [B-ROLL] markers. Tone: Natural spoken language -- not essay-style.",4,35,Text,youtube;script;video,2026-03-23,1.2,Read it aloud before recording. If it sounds stiff your audience will bounce.
Technical Blog Post Writer,Writing,Claude,"Context: I'm writing for a developer audience about [TECHNICAL_TOPIC]. The post should cover [SCOPE]. Prerequisites the reader should know: [PREREQUISITES]. Role: Act as a senior developer who writes technical tutorials. Action: Write a [WORD_COUNT]-word technical blog post with code examples, explanations of why (not just how), common pitfalls, and a working example the reader can follow along with. Format: H2 headers, code blocks with language tags, callout boxes for tips and warnings. Tone: Technical but approachable. Show don't tell.",5,42,Markdown,technical;blog;tutorial,2026-03-25,1.4,Claude writes the best technical content. Include your actual code snippets for context.
Google Ads Copy Writer,Marketing,ChatGPT,"Context: I'm running Google Ads for [PRODUCT/SERVICE] targeting the keyword [KEYWORD]. Landing page: [URL]. Budget: [BUDGET/DAY]. Role: Act as a Google Ads specialist who writes high-CTR ads. Action: Write 5 responsive search ad variations with: 3 headlines (30 chars each), 2 descriptions (90 chars each). Each variation should test a different angle: feature, benefit, social proof, urgency, and question. Format: Labelled variations with character counts. Tone: Compelling and concise -- every character matters.",4,38,Text,google-ads;ppc;search,2026-03-22,1.1,Character limits are strict. Double-check counts manually.
Landing Page Copy Generator,Marketing,Claude,"Context: I'm building a landing page for [PRODUCT]. Price: [PRICE]. Main benefit: [BENEFIT]. Target audience: [AUDIENCE]. Current conversion rate: [RATE]. Role: Act as a conversion copywriter who A/B tests relentlessly. Action: Write complete landing page copy: hero headline and subheadline, 3 benefit sections with supporting copy, social proof section, FAQ (5 questions), and CTA sections (above fold and bottom). Format: Sections clearly labelled. Include A/B test alternatives for the headline. Tone: Clear, benefit-focused, conversational.",4,23,Markdown,landing-page;conversion;copy,2026-03-20,1.0,Include your current headline for A/B comparison suggestions.
Data Cleaning Instructions,Analysis,Any,"Context: I have a dataset in [FORMAT] with [NUMBER] rows. Known issues: [ISSUES]. Columns: [COLUMN_LIST]. Role: Act as a data engineer who prepares clean datasets. Action: Write step-by-step data cleaning instructions covering: duplicate removal, null value handling, data type corrections, outlier identification, standardisation, and validation checks. Format: Numbered steps with specific column references. Tone: Precise and methodical.",4,19,Text,data;cleaning;preparation,2026-03-17,1.0,Run the validation checks at the end -- they catch issues you missed.
Presentation Deck Outliner,Business,Any,"Context: I am presenting [TOPIC] to [AUDIENCE] in [DURATION] minutes. Goal: [GOAL]. Key message: [MESSAGE]. Role: Act as a presentation coach who structures compelling decks. Action: Create a slide-by-slide outline with: slide title, key message, talking points (3 max), visual suggestion, and transition to next slide. Format: Slide-by-slide outline numbered sequentially. Tone: Engaging and persuasive.",4,26,Markdown,presentation;deck;slides,2026-03-21,1.1,1 slide per minute is the rule. 15-minute presentation = 15 slides max.
Bug Report Template,Coding,Any,"Context: I found a bug in [APPLICATION]. Environment: [ENVIRONMENT]. Role: Act as a QA engineer who writes clear bug reports. Action: Help me structure this bug report with: title, severity, environment details, steps to reproduce, expected behaviour, actual behaviour, screenshots/logs section, and suggested investigation areas. Format: Structured template with clear sections. Tone: Factual and reproducible.",4,56,Markdown,bug;qa;reporting,2026-03-24,1.2,The steps to reproduce section is the most important. Be painfully specific.
Quarterly Business Review Prep,Business,Claude,"Context: I need to prepare a QBR for [BUSINESS/CLIENT] covering [QUARTER]. Key metrics: [METRICS]. Highlights: [HIGHLIGHTS]. Challenges: [CHALLENGES]. Role: Act as a business analyst preparing executive materials. Action: Structure a QBR with: executive summary, KPI dashboard narrative, wins and highlights, challenges and mitigations, financial summary, next quarter outlook, and discussion questions. Format: Presentation-ready sections with headers. Include a metrics table. Tone: Professional and balanced.",4,11,Markdown,qbr;review;quarterly,2026-03-10,1.0,Run this at the start of QBR prep week. Flesh out each section with real data afterwards.
